Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Afghanistan,2021-01-02 05:22:33,33.93911,67.709953,52513,2201,41727,8585,134.89657830525067,4.191343095995277
Albania,2021-01-02 05:22:33,41.1533,20.1683,58316,1181,33634,23501,2026.409062478282,2.025173194320598
Algeria,2021-01-02 05:22:33,28.0339,1.6596,99897,2762,67395,29740,227.80986075975437,2.764847793227024
Andorra,2021-01-02 05:22:33,42.5063,1.5218,8117,84,7463,570,10505.403481524623,1.0348650979425895
Angola,2021-01-02 05:22:33,-11.2027,17.8739,17568,405,11146,6017,53.45298103210258,2.305327868852459
Antigua and Barbuda,2021-01-02 05:22:33,17.0608,-61.7964,159,5,148,6,162.36418593252185,3.1446540880503147
Argentina,2021-01-02 05:22:33,-38.4161,-63.6167,1629594,43319,1426676,159599,3605.6333316274217,2.658269483073698
Armenia,2021-01-02 05:22:33,40.0691,45.0382,159738,2828,143355,13555,5390.6643889750185,1.77039902840902
Australia,2021-01-02 05:22:33,-35.4735,149.0124,118,3,114,1,27.563653352020555,2.542372881355932
Australia,2021-01-02 05:22:33,-33.8688,151.2093,4947,54,0,4893,60.93865484109386,1.0915706488781078
Australia,2021-01-02 05:22:33,-12.4634,130.8456,75,0,71,4,30.537459283387623,0.0
Australia,2021-01-02 05:22:33,-27.4698,153.0251,1255,6,1224,25,24.533281204183364,0.4780876494023904
Australia,2021-01-02 05:22:33,-34.9285,138.6007,580,4,566,10,33.020210646171364,0.6896551724137931
Australia,2021-01-02 05:22:33,-42.8821,147.3272,234,13,221,0,43.69747899159664,5.555555555555555
Australia,2021-01-02 05:22:33,-37.8136,144.9631,20388,820,19539,29,307.51595046682456,4.021973710025505
Australia,2021-01-02 05:22:33,-31.9505,115.8605,863,9,838,16,32.80620390785372,1.0428736964078795
Austria,2021-01-02 05:22:33,47.5162,14.5501,358774,7564,334901,21749,4029.479037129152,1.725216375364759
Azerbaijan,2021-01-02 05:22:33,40.1431,47.5769,219041,2670,188280,28091,2160.343420445944,1.2189498769636735
Bahamas,2021-01-02 05:22:33,25.025885,-78.035889,7887,171,6239,1477,2005.6046057449755,2.1681247622670217
Bahrain,2021-01-02 05:22:33,26.0275,50.55,92913,352,90369,2192,5460.386005266861,0.378849030813772
Bangladesh,2021-01-02 05:22:33,23.685,90.3563,514500,7576,458656,48268,312.4062951890469,1.4724975704567542
Barbados,2021-01-02 05:22:33,13.1939,-59.5432,395,7,319,69,137.4529789018377,1.7721518987341771
Belarus,2021-01-02 05:22:33,53.7098,27.9534,196223,1433,178102,16688,2076.583068772878,0.7302915560357348
Belgium,2021-01-02 05:22:33,51.2195,4.4024,79680,0,0,79680,4261.5778748803305,0.0
Belgium,2021-01-02 05:22:33,50.8503,4.3517,81557,0,0,81557,6694.575437818848,0.0
Belgium,2021-01-02 05:22:33,51.0362,3.7373,65260,0,0,65260,4278.628819443306,0.0
Belgium,2021-01-02 05:22:33,50.9167,4.5833,49270,0,0,49270,4262.689655948083,0.0
Belgium,2021-01-02 05:22:33,50.5257,4.0621,102209,0,0,102209,7588.800451427044,0.0
Belgium,2021-01-02 05:22:33,50.4496,5.8492,97027,0,0,97027,8742.746440800143,0.0
Belgium,2021-01-02 05:22:33,50.9739,5.3420000000000005,29349,0,0,29349,3345.1109566089563,0.0
Belgium,2021-01-02 05:22:33,50.0547,5.4677,18416,0,0,18416,6422.274299743332,0.0
Belgium,2021-01-02 05:22:33,50.331,4.8221,35462,0,0,35462,7152.019232320625,0.0
Belgium,2021-01-02 05:22:33,35.768908300181025,-71.11371388385798,10701,19581,0,0,5738.940929020448,182.9828987945052
Belgium,2021-01-02 05:22:33,50.4,4.35,25144,0,0,25144,6192.813636800248,0.0
Belgium,2021-01-02 05:22:33,51.0536,3.1458,54214,0,0,54214,4514.27833914126,0.0
Belize,2021-01-02 05:22:33,17.1899,-88.4976,10776,248,9795,733,2710.1184293586102,2.3014105419450632
Benin,2021-01-02 05:22:33,9.3077,2.3158,3251,44,3061,146,26.816356542225904,1.353429713934174
Bhutan,2021-01-02 05:22:33,27.5142,90.4336,689,0,449,240,89.29358278513035,0.0
Bolivia,2021-01-02 05:22:33,-16.2902,-63.5887,160985,9175,132510,19300,1379.119335692561,5.699288753610585
Bosnia and Herzegovina,2021-01-02 05:22:33,43.9159,17.6791,112143,4086,77682,30375,3418.144576881049,3.6435622375003343
Botswana,2021-01-02 05:22:33,-22.3285,24.6849,14805,42,12136,2627,629.5646627332164,0.2836879432624113
Brazil,2021-01-02 05:22:33,-9.0238,-70.812,41689,796,33670,7223,4726.992352044085,1.9093765741562525
Brazil,2021-01-02 05:22:33,-9.5713,-36.782,105091,2496,99710,2885,3148.9289278911424,2.375084450618987
Brazil,2021-01-02 05:22:33,0.902,-52.003,68361,926,52670,14765,8083.066601555341,1.3545735141381785
Brazil,2021-01-02 05:22:33,-3.4168,-65.8561,201574,5295,170178,26101,4863.536792600101,2.62682687251332
